"PlayId","Title","Genre","Format","Description","ReferenceId","Poster","ScriptLink"
70,La Jugueteria,Kids,Small,"A heartwarming Christmas play set in an old toy store where the toys come to life when no one is watching. An Ugly Doll with uneven stitching and faded fabric, is often mocked by the other toys for her appearance. But when the shop faces unexpected troubles, it is the dolls kindness and bravery that save the day. As Christmas Eve arrives, the toys realize that true beauty lies in the heart, and they come to cherish the doll they once rejected. In a magical twist, Santa rewards the doll’s generosity, reminding everyone of the true spirit of Christmas—love, friendship, and acceptance.",,,
71,Luces Bajo La Lluvia,Drama,Small,"Luces Bajo La Lluvia is a gripping drama set in the 1970s, where two sisters, Joleen and Darlene, are complete opposites and despise each other. Joleen is kind and compassionate, while Darlene is ruthless and manipulative. Their long-standing rivalry turns into a dangerous obsession when they both fall in love with the same man, igniting a web of jealousy, betrayal, and dark secrets. As their hatred reaches a breaking point, their lives spiral out of control, leading to a tragic and unforgettable climax.",,,
72,El Grinch,Christmas,Small,"The Grinch is a beloved Christmas play that tells the story of a grumpy, green creature who despises the holiday season and lives in isolation atop Mount Crumpit. Annoyed by the festive joy of the nearby town of Whoville, he devises a wicked plan to steal Christmas by taking all the presents, decorations, and food. However, despite his efforts, the Whos still celebrate with warmth and love, teaching the Grinch that Christmas is about more than material things. Touched by their kindness, his heart grows, and he discovers the true meaning of the holiday, transforming from a villain into a cherished friend.",,,
73,Transilvania,Halloween,Small,"Transilvania is a hilarious Halloween comedy set in a mysterious, gothic castle where the eccentric Amado Amancio, a self-proclaimed master of horror, and his sarcastic and bumbling servant Igor spend their nights entertaining unexpected guests with outrageous and exaggerated tales of terror. As they weave their spooky stories—filled with ghosts, vampires, and absurdly dramatic monsters—their own misadventures and clumsy antics turn every chilling tale into a laugh-out-loud disaster. With witty dialogue, spooky fun, and a touch of the macabre, Transilvania is a theatrical treat that proves fear and laughter go hand in hand.",,,
74,El Silbon,Halloween,Small,"El Silbón is a chilling horror play based on the legendary Venezuelan folktale. On a stormy night, a group of travelers seeks refuge in an old hacienda, unaware that they are about to encounter the terrifying spirit of El Silbón—a cursed soul doomed to wander the earth, carrying a sack of bones and announcing his presence with an eerie, whistling tune. As the night unfolds, the travelers hear his whistle growing closer, and fear turns to terror as they realize the legend is real. Filled with suspense, supernatural horror, and spine-tingling moments, El Silbón is a theatrical nightmare that brings one of Latin Americas most terrifying myths to life.",,,
75,Hocus Pocus,Halloween,Small,"Hocus Pocus is a spellbinding comedy set on Halloween night, where three wickedly funny sister witches—Winifred, Sarah, and Mary Sanderson—return from the dead after 300 years to wreak havoc on the town of Salem. With their mischievous magic and over-the-top antics, they plan to steal the life force of children to regain their youth. However, a group of unlikely heroes—a skeptical teenager, his little sister, a clever friend, and an enchanted talking cat—must outsmart the witches before sunrise. Filled with humor, magic, and Halloween chaos, Hocus Pocus is a bewitching adventure that proves good always triumphs over evil… with a little help from some hilarious mischief!",,,
76,Don Quijote,Comedy,Small,"Don Quijote is a theatrical adaptation of Miguel de Cervantes timeless classic, blending adventure, humor, and heartfelt drama. The story follows Don Quijote de la Mancha, an aging nobleman who, inspired by tales of chivalry, sets out on a grand quest to become a knight. Accompanied by his loyal but skeptical squire, Sancho Panza, he battles imaginary foes, mistakes windmills for giants, and defends his ideals with unwavering determination. As the line between reality and fantasy blurs, Don Quijote’s journey becomes both a comical misadventure and a poignant reflection on dreams, honor, and the power of belief.",,,
77,Sueño de Una Noche de Verano,Comedy,Small,"Sueño de una Noche de Verano is a whimsical and enchanting comedy by William Shakespeare, filled with love, magic, and mischief. Set in a mystical forest under the glow of the moon, the play follows four young lovers, a group of bumbling actors, and a feud between the fairy king Oberon and queen Titania. With the mischievous Puck spreading magical chaos through mistaken identities and love spells gone wrong, the night becomes a whirlwind of hilarious misunderstandings and romantic entanglements. As dawn approaches, the enchantments unravel, leaving behind laughter, love, and a touch of fairy magic in this timeless tale of dreams and illusion.",,,
78,Constelations,Romance,Small,"Explores love, fate, and the infinite possibilities of human connection. The story follows Marianne, a physicist, and Roland, a beekeeper, as they navigate their relationship across multiple realities. Through a series of fragmented yet interconnected scenes, the play shifts between parallel universes, showing how small choices can lead to vastly different outcomes. With humor, heartbreak, and deep philosophical questions, Constellations is a mesmerizing exploration of time, love, and the cosmic forces that bind us together.",,,
79,Lucrecia,Comedy,Small,sadaa,,,
